INSTRUMENT ID,taken_on,Reading1,Temperature,Reading2,Reading3,Reading4,Reading5,Reading6,Reading_Ave,Load
A24,03/31/2025 12:00,5964.0100,0.56,5523.73,5911.25,5059.4,4556.01,5742.76,5459.5267,238.1601
A24,03/28/2025 12:00,5964.3470,-0.25,5524.064,5911.416,5059.824,4556.443,5742.701,5459.7992,238.1271
A24,03/26/2025 12:00,5963.8340,1.01,5523.822,5911.09,5059.451,4556.42,5742.513,5459.5217,238.1607
A24,03/24/2025 12:00,5964.2440,0.19,5523.842,5911.195,5059.948,4556.45,5742.809,5459.7480,238.1333
A24,03/21/2025 12:00,5963.6320,0.86,5522.971,5910.085,5059.33,4556.068,5742.359,5459.0742,238.2149
A24,03/19/2025 12:00,5962.9020,0.79,5522.232,5909.563,5059.074,4556.07,5742.107,5458.6580,238.2653
A24,03/17/2025 12:00,5962.9980,0.86,5522.678,5909.963,5059.443,4557.041,5742.915,5459.1730,238.2029
A24,03/14/2025 12:00,5963.4210,0.33,5523.162,5911.205,5059.294,4556.509,5743.347,5459.4897,238.1646
A24,03/12/2025 12:00,5964.3120,-0.69,5524.542,5912.343,5059.864,4556.722,5743.75,5460.2555,238.0718
A24,03/10/2025 12:00,5963.9930,-0.22,5524.974,5912.454,5059.324,4556.013,5743.306,5460.0107,238.1015
A24,03/07/2025 12:00,5964.4280,-0.43,5525.782,5912.993,5058.989,4555.399,5742.798,5460.0648,238.0949
A24,03/05/2025 12:00,5964.5480,-0.37,5526.235,5913.33,5059.038,4555.187,5743.083,5460.2368,238.0741
A24,03/03/2025 12:00,5964.9180,-0.87,5526.411,5913.987,5059.084,4555.104,5743.304,5460.4680,238.0461
A24,02/28/2025 12:00,5964.8330,-1.58,5526.663,5913.396,5058.661,4554.183,5742.362,5460.0163,238.1008
A24,02/26/2025 12:00,5963.5600,-0.14,5526.5,5912.831,5057.065,4552.415,5740.805,5458.8627,238.2405
A24,02/24/2025 12:00,5967.7720,-2.82,5532.045,5917.884,5062.579,4558.431,5744.791,5463.9170,237.6284
A24,02/21/2025 12:00,5968.2250,-3.84,5532.363,5919.755,5063.278,4558.545,5746.643,5464.8015,237.5213
