load_cell,baseline,guage_factor,regression_no_load,current_average,install_temp,install_date,calibration_baseline
A02,864,-335.2,7632,5131.5,6.111111111,12/15/2023,838.1676
A04,757,-337,7733,5414.67,1.111111111,12/19/2023,781.2783
A06,820,-335.4,7627,5095.4,-2.222222222,12/21/2023,849.093
A08,868,-334.4,7593,4952.9,1.111111111,1/3/2024,882.8439
A10,842,-334.9,7507,4965,-3.888888889,1/6/2024,851.3158
A12,847,-336.1,7590,5031.3,7.222222222,4/19/2024,859.967
A14,843,-341.1,7675,5173.5,3.888888889,4/20/2024,853.2733
A15,289,-119.3,7482,5027.7,8.888888889,4/30/2024,292.797592
A16,278,-119.3,7435,5073.6,8.888888889,4/30/2024,281.715
A17,277,-119.2,7476,5124.5,11.11111111,5/1/2024,280.2988
A20,264,-118.6,7358,5081.5,2.222222222,1/29/2024,269.9929
A24,243,-121.1,7450,5398.4,5,3/25/2024,248.4488
A26,143,-72.27,7284,5288.2,0,2/15/2024,144.2365
A28,141,-71.63,7303,5290.4,0,2/15/2024,144.1625
A30,139,-71.8,7329,5345.5,0,2/15/2024,142.4153
A32,405,-170.1,7339,4872.7,-2.777777778,2/14/2024,416.5176
A34,400,-171.1,7396,4960.8,-2.222222222,2/13/2024,416.6627
A36,393,-169.2,7294,4891.6,-2.222222222,2/12/2024,406.4861
A38,385,-170.3,7345,5000.1,1.111111111,2/6/2024,399.345
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
